GeneSymbol	GeneID	MediaTumor	MedianNormal	Log2FoldChange	adjp
DDHD2	ENSG00000085788.13	8.190	18.415	-1.079	2.87e-13
DDI2	ENSG00000197312.11	1.680	5.350	-1.245	6.13e-43
DDIT3	ENSG00000175197.10	100.370	35.131	1.488	2.34e-12
DDIT4L	ENSG00000145358.6	3.440	0.420	1.645	1.08e-16
DDR2	ENSG00000162733.16	17.480	58.918	-1.697	1.76e-20
DDX11L2	ENSG00000236397.3	0.250	2.225	-1.367	1.52e-22
DDX17	ENSG00000100201.18	58.761	223.719	-1.911	8.55e-37
DDX3Y	ENSG00000067048.16	0.010	28.327	-4.860	3.89e-7
DDX5	ENSG00000108654.11	228.380	583.443	-1.349	8.55e-21
DENND2D	ENSG00000162777.16	8.910	19.265	-1.032	3.24e-16
DENND3	ENSG00000105339.10	2.490	13.365	-2.041	2.98e-47
DENND4B	ENSG00000198837.9	10.690	28.561	-1.338	3.86e-24
DEPDC1B	ENSG00000035499.12	2.220	0.190	1.436	3.80e-35
DEPTOR	ENSG00000155792.9	8.290	40.339	-2.154	2.80e-28
DES	ENSG00000175084.11	0.080	7.625	-2.997	4.44e-47
DFNA5	ENSG00000105928.13	14.870	3.530	1.809	1.56e-18
DFNB31	ENSG00000095397.13	33.070	96.305	-1.514	5.26e-24
DFNB59	ENSG00000204311.11	0.860	2.850	-1.050	6.47e-26
DGAT1	ENSG00000185000.9	47.389	129.176	-1.428	7.37e-20
DGKA	ENSG00000065357.19	7.570	19.745	-1.275	8.11e-18
DGUOK-AS1	ENSG00000237883.1	0.200	2.540	-1.561	1.30e-42
DHCR7	ENSG00000172893.15	113.087	51.983	1.107	4.60e-4
DHRS1	ENSG00000157379.13	11.520	27.965	-1.210	1.25e-27
DHRS11	ENSG00000278535.4	4.550	10.240	-1.018	1.38e-20
DHRS2	ENSG00000100867.14	4.330	0.510	1.820	1.95e-13
DIO3OS	ENSG00000258498.6	0.190	3.700	-1.982	1.04e-32
DIP2A	ENSG00000160305.17	7.440	16.005	-1.011	3.28e-25
DIRC3	ENSG00000231672.6	0.210	1.485	-1.038	1.16e-34
DIXDC1	ENSG00000150764.13	4.830	10.689	-1.004	3.53e-12
DKK3	ENSG00000050165.17	7.520	42.535	-2.353	4.87e-18
DLEU1_1	ENSG00000276089.1	0.000	1.410	-1.269	1.23e-4
DLG2	ENSG00000150672.16	0.600	8.165	-2.518	8.63e-46
DLG4	ENSG00000132535.18	10.950	24.855	-1.113	3.50e-15
DLG5	ENSG00000151208.16	25.160	53.824	-1.067	6.58e-14
DLGAP1	ENSG00000170579.14	0.060	1.830	-1.417	1.62e-13
DLGAP1-AS1	ENSG00000177337.7	7.350	24.634	-1.618	2.72e-29
DLGAP1-AS2	ENSG00000262001.1	1.700	4.665	-1.069	8.21e-23
DLK1	ENSG00000185559.13	4248.388	1066.116	1.994	8.33e-3
DLL4	ENSG00000128917.6	5.620	1.225	1.573	6.30e-29
DLX5	ENSG00000105880.4	3.000	0.130	1.824	3.81e-32
DMD	ENSG00000198947.14	3.230	9.085	-1.253	4.98e-19
DMGDH	ENSG00000132837.14	1.240	4.850	-1.385	1.78e-23
DMPK	ENSG00000104936.17	43.149	112.739	-1.365	2.21e-14
DMTF1	ENSG00000135164.18	14.980	36.789	-1.242	9.83e-30
DNAH1	ENSG00000114841.17	2.110	5.935	-1.157	2.20e-32
DNAJA4	ENSG00000140403.12	6.140	16.429	-1.288	9.76e-21
DNAJB4	ENSG00000162616.8	11.870	29.709	-1.255	2.58e-23
DNAJC1	ENSG00000136770.10	33.139	15.135	1.081	7.43e-22
DNAJC12	ENSG00000108176.14	15.290	37.994	-1.259	9.28e-14
DNAJC19P9	ENSG00000258608.1	3.140	0.660	1.318	8.11e-34
DNAJC9-AS1	ENSG00000236756.4	3.330	0.360	1.671	6.50e-14
DNALI1	ENSG00000163879.10	3.860	11.475	-1.360	4.02e-22
DNASE1L3	ENSG00000163687.13	2.750	27.510	-2.926	2.64e-34
DNER	ENSG00000187957.7	25.770	61.612	-1.226	5.76e-13
DNHD1	ENSG00000179532.12	1.560	7.655	-1.757	3.03e-46
DNM1	ENSG00000106976.18	1.170	6.985	-1.880	8.55e-13
DNM3OS	ENSG00000230630.2	0.090	1.570	-1.237	3.97e-46
DOCK10	ENSG00000135905.18	2.960	8.620	-1.281	6.38e-15
DOCK2	ENSG00000134516.15	1.450	4.130	-1.066	1.74e-13
DOCK4	ENSG00000128512.19	1.620	4.820	-1.151	1.98e-27
DOCK9	ENSG00000088387.17	6.580	20.295	-1.490	1.07e-28
DOK2	ENSG00000147443.12	0.940	4.729	-1.562	6.82e-21
DOK3	ENSG00000146094.13	2.070	6.115	-1.213	3.55e-19
DOPEY1	ENSG00000083097.14	2.680	6.510	-1.029	1.16e-31
DPH1	ENSG00000108963.17	15.360	48.701	-1.603	1.16e-42
DPP10	ENSG00000175497.16	2.400	7.935	-1.394	3.91e-14
DPT	ENSG00000143196.4	0.230	4.590	-2.184	1.85e-19
DPYD	ENSG00000188641.12	3.180	8.570	-1.195	4.63e-17
DPYS	ENSG00000147647.12	1.870	21.590	-2.977	1.68e-35
DSE	ENSG00000111817.16	2.710	8.730	-1.391	8.30e-32
DTL	ENSG00000143476.17	1.660	0.315	1.016	9.86e-20
DUOX1	ENSG00000137857.17	0.180	15.160	-3.776	1.06e-65
DUOXA1	ENSG00000140254.12	0.050	3.589	-2.128	3.63e-53
DUSP15	ENSG00000149599.15	14.200	5.330	1.264	6.11e-14
DUSP2	ENSG00000158050.4	4.000	1.020	1.308	2.60e-15
DUSP26	ENSG00000133878.8	2.050	21.170	-2.862	1.24e-27
DUSP5	ENSG00000138166.5	19.631	8.190	1.167	4.71e-3
DUSP8P5	ENSG00000235316.1	0.470	2.325	-1.178	4.47e-43
DVL2	ENSG00000004975.11	13.320	29.579	-1.095	1.73e-17
DXO	ENSG00000204348.9	15.530	32.134	-1.003	8.64e-16
DYNLL1	ENSG00000088986.10	534.075	218.789	1.284	2.17e-19
E2F1	ENSG00000101412.12	11.290	4.025	1.290	1.55e-21
EBF4	ENSG00000088881.20	1.890	5.590	-1.189	9.71e-16
EBP	ENSG00000147155.10	340.496	161.887	1.068	3.38e-8
ECHDC2	ENSG00000121310.16	39.890	168.522	-2.052	1.60e-43
ECHDC3	ENSG00000134463.14	2.570	24.909	-2.859	2.50e-23
ECM1	ENSG00000143369.14	5.870	13.100	-1.037	2.05e-5
EDA	ENSG00000158813.17	18.750	6.405	1.415	4.66e-24
EDIL3	ENSG00000164176.12	1.440	6.610	-1.641	1.90e-8
EDNRB	ENSG00000136160.14	5.760	15.335	-1.273	2.87e-13
EEF1A1P19	ENSG00000249855.1	1.780	0.325	1.069	4.53e-44
EEF1A1P6	ENSG00000233476.3	22.330	7.950	1.382	1.33e-19
EEF1A1P9	ENSG00000249264.1	1.650	0.185	1.161	2.23e-50
EFCAB2	ENSG00000203666.12	6.270	13.989	-1.044	1.03e-20
EFEMP1	ENSG00000115380.18	11.640	46.261	-1.903	1.47e-13
EFEMP2	ENSG00000172638.12	10.130	34.635	-1.679	4.75e-17
EFHC1	ENSG00000096093.14	2.180	7.315	-1.387	6.06e-39
EFNA3	ENSG00000143590.13	9.200	1.800	1.865	8.51e-24
EFS	ENSG00000100842.12	0.220	2.690	-1.597	7.32e-33
EGFL8	ENSG00000241404.6	4.950	11.240	-1.041	6.58e-18
EGFLAM	ENSG00000164318.17	0.790	7.480	-2.244	1.05e-34
EGFR	ENSG00000146648.15	4.100	10.285	-1.146	2.95e-11
EGLN3	ENSG00000129521.13	2.500	0.510	1.213	4.80e-18
EGR1	ENSG00000120738.7	17.190	37.106	-1.067	6.20e-7
EHBP1L1	ENSG00000173442.11	3.970	19.434	-2.040	8.94e-37
EHD3	ENSG00000013016.14	1.410	5.585	-1.450	1.65e-28
EIF1AY	ENSG00000198692.9	0.040	19.337	-4.289	2.75e-5
EIF2D	ENSG00000143486.15	15.940	33.669	-1.033	1.21e-19
EIF3C	ENSG00000184110.14	393.657	181.861	1.110	2.23e-14
EIF5	ENSG00000100664.10	40.439	96.035	-1.228	2.53e-15
EIF5AP4	ENSG00000234743.1	4.900	0.185	2.316	6.59e-77
ELL3	ENSG00000128886.11	1.080	4.305	-1.351	1.40e-28
ELMOD3	ENSG00000115459.17	8.680	20.175	-1.129	3.47e-25
ELMSAN1	ENSG00000156030.12	3.690	8.995	-1.092	1.02e-27
ELN	ENSG00000049540.16	1.560	9.920	-2.093	4.92e-19
ELOVL4	ENSG00000118402.5	1.600	0.220	1.092	3.07e-18
EMB	ENSG00000170571.11	4.080	15.230	-1.676	2.22e-7
EMCN	ENSG00000164035.9	3.470	10.290	-1.337	2.27e-15
EME2	ENSG00000197774.12	4.050	13.270	-1.499	4.81e-33
EMILIN1	ENSG00000138080.13	6.010	39.925	-2.545	5.17e-28
EMILIN2	ENSG00000132205.10	1.580	4.235	-1.021	3.80e-6
EML2	ENSG00000125746.14	20.040	51.594	-1.322	1.37e-13
EML3	ENSG00000149499.11	8.950	35.355	-1.869	1.70e-37
EML4	ENSG00000143924.18	5.930	17.760	-1.437	6.14e-23
EMP1	ENSG00000134531.9	7.520	18.955	-1.228	6.28e-14
ENAH	ENSG00000154380.16	9.400	28.739	-1.516	2.81e-20
ENC1	ENSG00000171617.13	8.960	1.575	1.952	1.72e-24
ENG	ENSG00000106991.13	30.930	75.006	-1.251	1.08e-21
ENGASE	ENSG00000167280.16	6.650	31.745	-2.098	1.75e-53
ENO3	ENSG00000108515.17	3.760	9.450	-1.135	6.42e-18
ENOSF1	ENSG00000132199.18	23.540	67.923	-1.490	6.05e-29
FGR	ENSG00000000938.12	1.290	6.290	-1.671	4.69e-35
TMEM176A	ENSG00000002933.7	6.340	18.908	-1.440	1.49e-5
RBM5	ENSG00000003756.16	30.549	88.214	-1.500	2.02e-33
SLC7A2	ENSG00000003989.16	0.920	4.580	-1.539	6.08e-15
SARM1	ENSG00000004139.13	3.520	9.420	-1.205	1.90e-22
RBM6	ENSG00000004534.14	28.111	76.261	-1.408	2.48e-27
PDK4	ENSG00000004799.7	56.920	162.066	-1.493	6.48e-8
HOXA11	ENSG00000005073.5	2.290	0.475	1.157	3.25e-15
PON1	ENSG00000005421.8	0.150	5.014	-2.387	8.72e-17
PDK2	ENSG00000005882.11	31.360	84.723	-1.405	4.35e-15
ITGA3	ENSG00000005884.17	17.881	39.620	-1.105	1.61e-9
TMEM132A	ENSG00000006118.14	66.842	13.450	2.231	1.16e-33
TAC1	ENSG00000006128.11	0.050	2.580	-1.770	6.50e-24
SPATA20	ENSG00000006282.19	36.630	78.457	-1.078	1.41e-16
TNFRSF12A	ENSG00000006327.13	122.802	27.460	2.121	6.63e-19
GAS7	ENSG00000007237.18	0.450	3.065	-1.487	4.90e-17
RHBDF1	ENSG00000007384.15	3.970	10.630	-1.227	5.36e-16
TEAD3	ENSG00000007866.18	1.850	6.710	-1.436	1.16e-26
FMO3	ENSG00000007933.12	0.550	4.025	-1.697	1.15e-15
MYLIP	ENSG00000007944.14	2.830	13.580	-1.929	8.84e-26
SPAG9	ENSG00000008294.20	7.820	23.715	-1.487	5.25e-33
MGST1	ENSG00000008394.12	415.757	1011.618	-1.281	2.94e-11
IL32	ENSG00000008517.16	52.548	21.274	1.265	2.03e-6
MAPK8IP2	ENSG00000008735.13	2.190	8.709	-1.606	1.01e-17
HEATR5B	ENSG00000008869.11	3.220	7.885	-1.074	1.39e-29
MLXIPL	ENSG00000009950.15	12.140	102.447	-2.977	1.39e-31
NISCH	ENSG00000010322.15	25.170	68.604	-1.411	1.52e-31
STAB1	ENSG00000010327.10	24.511	159.879	-2.657	9.19e-33
HIVEP2	ENSG00000010818.8	1.630	4.375	-1.031	5.45e-29
FMO1	ENSG00000010932.15	0.410	4.785	-2.037	1.09e-14
MRC2	ENSG00000011028.13	2.500	10.440	-1.709	2.83e-9
SYT7	ENSG00000011347.9	2.460	0.365	1.342	1.56e-11
PIK3C2A	ENSG00000011405.13	4.560	10.145	-1.003	1.16e-22
SEMA3B	ENSG00000012171.17	34.470	196.304	-2.476	3.27e-29
KDM5D	ENSG00000012817.15	0.020	34.930	-5.139	5.81e-9
PGM3	ENSG00000013375.15	8.560	18.155	-1.003	1.73e-18
RWDD2A	ENSG00000013392.7	2.010	5.290	-1.063	4.26e-30
MTMR11	ENSG00000014914.19	16.580	36.015	-1.074	4.41e-11
WAS	ENSG00000015285.10	1.690	5.650	-1.306	4.95e-19
IGF1	ENSG00000017427.15	0.670	3.764	-1.512	1.51e-21
RUFY3	ENSG00000018189.12	18.170	46.584	-1.312	5.69e-23
SLC11A1	ENSG00000018280.16	1.190	27.916	-3.723	1.28e-59
MARCO	ENSG00000019169.10	0.210	13.045	-3.537	6.62e-29
HGF	ENSG00000019991.15	0.590	7.838	-2.475	1.80e-29
ZRANB1	ENSG00000019995.6	4.460	12.979	-1.356	2.11e-20
OSBPL5	ENSG00000021762.19	3.260	8.975	-1.227	1.06e-27
FHL1	ENSG00000022267.16	7.560	21.970	-1.424	1.55e-16
PLEKHO1	ENSG00000023902.13	18.911	45.959	-1.238	3.11e-12
GCLM	ENSG00000023909.9	5.020	17.355	-1.608	1.63e-24
NR1H3	ENSG00000025434.18	5.330	30.250	-2.304	1.25e-35
TYMP	ENSG00000025708.12	6.020	27.925	-2.043	3.71e-19
TOMM34	ENSG00000025772.7	72.509	34.495	1.050	7.09e-14
FAS	ENSG00000026103.19	12.120	25.889	-1.035	2.26e-9
KCNG1	ENSG00000026559.13	1.570	0.080	1.251	2.40e-8
HMGB3	ENSG00000029993.14	31.219	11.375	1.380	2.95e-23
TIMP2	ENSG00000035862.12	56.539	125.582	-1.137	4.37e-9
TUBG2	ENSG00000037042.8	11.960	38.965	-1.625	1.26e-37
FLT4	ENSG00000037280.15	2.850	9.355	-1.427	3.16e-30
MRI1	ENSG00000037757.13	8.090	23.750	-1.445	2.61e-25
HOXC8	ENSG00000037965.5	0.630	2.680	-1.175	8.00e-22
VCAN	ENSG00000038427.15	2.730	18.560	-2.391	4.31e-16
MSR1	ENSG00000038945.14	2.280	8.429	-1.523	9.54e-19
INPP4A	ENSG00000040933.15	2.820	9.295	-1.430	1.21e-35
PARP3	ENSG00000041880.14	18.199	42.070	-1.166	2.17e-19
FAM65C	ENSG00000042062.11	0.630	17.105	-3.473	2.45e-47
RETSAT	ENSG00000042445.13	25.440	64.850	-1.316	1.01e-18
TG	ENSG00000042832.11	0.580	3.130	-1.386	1.20e-19
LCP2	ENSG00000043462.11	2.720	8.925	-1.416	6.90e-22
GPM6B	ENSG00000046653.14	0.200	1.430	-1.018	1.93e-19
FAM214A	ENSG00000047346.12	12.690	30.505	-1.202	6.79e-18
LMO3	ENSG00000048540.14	0.860	4.125	-1.462	1.31e-7
H6PD	ENSG00000049239.12	10.790	23.765	-1.071	5.11e-19
EPN3	ENSG00000049283.17	1.020	13.120	-2.805	2.38e-15
NEDD4L	ENSG00000049759.16	5.380	14.285	-1.260	1.12e-18
LIMA1	ENSG00000050405.13	13.210	40.005	-1.529	1.17e-23
LAMC3	ENSG00000050555.17	8.770	21.850	-1.226	2.88e-3
PTGER3	ENSG00000050628.20	0.660	2.420	-1.043	6.91e-3
FAM160A2	ENSG00000051009.10	14.470	31.110	-1.054	1.35e-23
THOC3	ENSG00000051596.9	57.859	13.350	2.036	2.37e-36
PLEKHA5	ENSG00000052126.14	13.380	48.770	-1.791	2.03e-16
MSMO1	ENSG00000052802.12	213.027	45.825	2.192	8.12e-10
MCF2L2	ENSG00000053524.11	2.580	6.355	-1.039	2.80e-15
KCNQ1	ENSG00000053918.15	11.130	161.086	-3.740	1.53e-51
PHPT1	ENSG00000054148.17	250.244	122.810	1.021	4.38e-20
HHAT	ENSG00000054392.12	1.470	5.175	-1.322	7.83e-28
PLEKHH1	ENSG00000054690.13	6.470	17.760	-1.328	7.51e-30
KCNH2	ENSG00000055118.14	12.880	2.020	2.200	6.41e-15
MCOLN3	ENSG00000055732.12	10.800	50.075	-2.114	2.12e-21
ITIH4	ENSG00000055955.15	1.680	28.464	-3.459	3.12e-42
TRAF1	ENSG00000056558.10	2.850	7.490	-1.141	3.56e-22
MTA3	ENSG00000057935.13	22.221	51.310	-1.172	2.78e-22
USP13	ENSG00000058056.8	2.920	10.275	-1.524	9.81e-28
UNKL	ENSG00000059145.18	5.790	21.795	-1.747	1.43e-24
TBXAS1	ENSG00000059377.15	2.780	8.290	-1.297	2.58e-16
TARBP1	ENSG00000059588.9	4.600	13.480	-1.371	9.59e-28
TNK2	ENSG00000061938.16	7.690	16.600	-1.018	1.26e-24
ISOC2	ENSG00000063241.7	109.470	46.920	1.205	7.28e-26
LIMCH1	ENSG00000064042.17	6.400	21.505	-1.605	6.90e-24
TM7SF3	ENSG00000064115.10	22.880	50.327	-1.104	1.48e-13
NGFR	ENSG00000064300.8	2.170	14.709	-2.309	6.68e-35
RFXANK	ENSG00000064490.13	74.821	35.341	1.061	9.36e-21
ZNF76	ENSG00000065029.14	15.930	45.781	-1.466	1.35e-34
SLC9A3R2	ENSG00000065054.13	27.119	57.470	-1.056	1.31e-16
MYLK	ENSG00000065534.18	2.950	11.935	-1.711	4.28e-27
TLE2	ENSG00000065717.14	4.720	30.124	-2.444	1.98e-47
ME1	ENSG00000065833.8	18.630	40.495	-1.080	1.00e-8
MTHFD2	ENSG00000065911.11	14.780	6.590	1.056	1.86e-5
PDE4A	ENSG00000065989.15	0.950	4.640	-1.532	2.11e-32
KDM4A	ENSG00000066135.12	9.160	19.725	-1.028	6.51e-18
NGEF	ENSG00000066248.14	7.470	41.370	-2.323	3.61e-14
SPI1	ENSG00000066336.11	5.430	15.765	-1.383	5.56e-14
FGFR2	ENSG00000066468.20	3.590	14.305	-1.737	6.96e-24
FECH	ENSG00000066926.10	6.470	18.255	-1.366	3.56e-19
PFKP	ENSG00000067057.16	29.300	9.625	1.512	8.14e-8
PHKA1	ENSG00000067177.14	5.840	15.475	-1.268	1.66e-17
EVI5	ENSG00000067208.14	2.750	6.950	-1.084	1.02e-25
TRO	ENSG00000067445.20	1.360	4.175	-1.133	1.12e-8
ZFY	ENSG00000067646.11	0.000	1.534	-1.341	5.63e-6
NAV3	ENSG00000067798.13	0.230	3.630	-1.912	4.84e-36
ROCK1	ENSG00000067900.6	3.420	9.230	-1.211	2.82e-31
HDAC4	ENSG00000068024.16	2.210	6.710	-1.264	1.08e-37
IFI35	ENSG00000068079.7	17.890	42.260	-1.195	1.95e-16
TTC7A	ENSG00000068724.15	11.030	27.775	-1.258	3.12e-25
IP6K2	ENSG00000068745.14	39.229	85.165	-1.099	2.52e-18
RASGRP2	ENSG00000068831.18	2.060	11.639	-2.046	3.19e-45
PYGM	ENSG00000068976.13	0.420	2.325	-1.227	2.79e-16
RORA	ENSG00000069667.15	6.510	21.480	-1.582	2.07e-20
RAB27A	ENSG00000069974.15	8.330	22.845	-1.354	2.86e-15
IKBKAP	ENSG00000070061.14	33.451	73.444	-1.112	3.76e-11
NUCB2	ENSG00000070081.15	93.169	42.939	1.100	6.09e-16
SMG6	ENSG00000070366.13	12.590	27.020	-1.044	3.39e-24
FSTL3	ENSG00000070404.9	35.121	94.264	-1.399	1.64e-14
PTPN21	ENSG00000070778.12	1.950	5.290	-1.092	1.84e-27
VASH1	ENSG00000071246.10	6.340	17.020	-1.296	2.70e-16
WBSCR22	ENSG00000071462.11	105.047	50.345	1.046	2.41e-25
PRKACA	ENSG00000072062.13	223.231	109.656	1.019	1.24e-12
PTPN18	ENSG00000072135.12	8.150	21.330	-1.287	1.06e-21
LIMS2	ENSG00000072163.18	4.750	17.709	-1.702	3.88e-40
SREBF1	ENSG00000072310.16	64.910	445.644	-2.761	4.69e-37
HMMR	ENSG00000072571.19	2.250	0.525	1.092	2.69e-17
P4HA2	ENSG00000072682.18	24.750	7.920	1.529	2.75e-17
FCGR2B	ENSG00000072694.18	1.100	4.009	-1.254	2.72e-9
EVC	ENSG00000072840.12	0.900	2.940	-1.052	5.34e-18
MRVI1	ENSG00000072952.18	1.830	5.840	-1.273	5.42e-30
IGF2BP2	ENSG00000073792.15	0.550	8.755	-2.654	1.64e-19
PPP2R2C	ENSG00000074211.13	2.380	0.185	1.512	3.93e-10
TEAD2	ENSG00000074219.13	5.390	13.845	-1.216	1.03e-14
ZNF532	ENSG00000074657.13	2.570	8.090	-1.348	7.46e-30
ZZEF1	ENSG00000074755.14	4.430	14.745	-1.536	3.21e-42
TTC38	ENSG00000075234.16	10.490	24.035	-1.124	4.95e-26
FOSL2	ENSG00000075426.11	36.740	110.998	-1.569	1.93e-24
FSCN1	ENSG00000075618.17	109.728	36.206	1.573	1.27e-8
PLD1	ENSG00000075651.15	7.240	25.038	-1.660	1.22e-25
SEC31B	ENSG00000075826.16	2.060	11.110	-1.985	7.21e-48
PTPN23	ENSG00000076201.14	10.360	22.455	-1.046	1.29e-21
RGS11	ENSG00000076344.15	0.530	3.515	-1.561	6.11e-16
GPC4	ENSG00000076716.8	2.240	5.575	-1.021	5.01e-8
NMRK2	ENSG00000077009.13	2.390	0.590	1.092	2.22e-10
UBE2T	ENSG00000077152.9	13.640	3.605	1.669	3.26e-24
PPP1R12B	ENSG00000077157.20	1.860	5.945	-1.280	1.78e-38
IL4R	ENSG00000077238.13	4.380	32.065	-2.620	9.13e-44
FAM76B	ENSG00000077458.12	3.680	13.505	-1.632	1.44e-40
NAALAD2	ENSG00000077616.10	2.700	9.010	-1.436	2.24e-15
FGFR1	ENSG00000077782.19	27.980	12.975	1.052	3.58e-8
FBLN1	ENSG00000077942.17	4.480	97.369	-4.166	9.56e-39
ITGA8	ENSG00000077943.7	1.010	4.310	-1.401	1.54e-22
SYNJ2	ENSG00000078269.13	1.450	4.215	-1.090	2.30e-26
HOXA9	ENSG00000078399.15	2.700	6.420	-1.004	7.13e-7
ITM2A	ENSG00000078596.10	1.920	5.290	-1.107	1.07e-16
THOC1	ENSG00000079134.11	9.020	19.510	-1.033	2.82e-28
OSBPL6	ENSG00000079156.16	2.090	0.200	1.365	6.03e-29
LXN	ENSG00000079257.7	7.910	32.112	-1.894	1.01e-23
MKNK1	ENSG00000079277.19	8.720	31.501	-1.741	6.04e-43
TNS1	ENSG00000079308.16	16.270	51.585	-1.606	1.06e-29
LIPE	ENSG00000079435.9	62.318	26.974	1.179	9.16e-5
FDFT1	ENSG00000079459.12	186.146	89.123	1.054	8.84e-3
KIF22	ENSG00000079616.12	38.180	16.515	1.162	1.38e-29
PGM1	ENSG00000079739.15	27.249	62.370	-1.166	1.39e-14
EPB41L2	ENSG00000079819.16	8.490	23.855	-1.389	5.81e-24
MOXD1	ENSG00000079931.14	2.990	15.754	-2.070	3.79e-15
RABL2B	ENSG00000079974.17	6.690	17.940	-1.300	1.35e-30
SRCAP	ENSG00000080603.16	3.180	15.665	-1.995	6.66e-24
KCNN2	ENSG00000080709.14	5.220	23.350	-1.969	3.84e-14
NDC80	ENSG00000080986.12	2.270	0.470	1.153	2.88e-20
PTPRC	ENSG00000081237.18	0.700	3.635	-1.447	1.55e-20
UBA5	ENSG00000081307.12	15.110	36.231	-1.209	1.83e-26
PHLPP1	ENSG00000081913.13	4.940	12.355	-1.169	1.55e-14
STRADB	ENSG00000082146.12	20.750	57.396	-1.425	9.37e-19
EPB41L3	ENSG00000082397.15	15.650	45.610	-1.485	4.13e-23
KCNK2	ENSG00000082482.13	0.900	34.495	-4.224	1.15e-43
MRPL22	ENSG00000082515.16	83.940	41.106	1.012	4.51e-27
ULK2	ENSG00000083290.19	2.930	7.315	-1.081	9.47e-24
FAT1	ENSG00000083857.13	9.390	2.025	1.780	2.66e-18
NKAIN1	ENSG00000084628.9	1.120	5.020	-1.506	4.90e-12
GCKR	ENSG00000084734.8	1.080	12.649	-2.714	1.63e-52
WNT11	ENSG00000085741.12	6.110	13.430	-1.021	3.90e-8
TTC39A	ENSG00000085831.15	2.820	7.240	-1.109	6.41e-8
FOLH1	ENSG00000086205.16	2.820	0.280	1.577	2.61e-26
LAT2	ENSG00000086730.16	2.130	5.320	-1.014	4.79e-10
TRIP6	ENSG00000087077.11	26.530	54.129	-1.002	1.75e-11
NLK	ENSG00000087095.12	9.810	23.585	-1.185	4.14e-14
MMP2	ENSG00000087245.12	4.910	46.620	-3.010	1.49e-40
MT3	ENSG00000087250.8	614.981	44.985	3.744	8.65e-18
SH3BP2	ENSG00000087266.15	5.380	14.910	-1.318	3.14e-15
ERGIC2	ENSG00000087502.17	57.899	21.905	1.363	5.61e-22
TPX2	ENSG00000088325.15	8.390	1.065	2.185	3.71e-33
FER1L4	ENSG00000088340.15	1.030	3.405	-1.118	2.23e-6
PDRG1	ENSG00000088356.5	23.650	9.990	1.165	7.72e-26
SIGLEC1	ENSG00000088827.12	0.780	9.205	-2.519	3.47e-31
SLC4A11	ENSG00000088836.12	1.060	5.555	-1.670	3.81e-30
TESC	ENSG00000088992.17	15.040	42.070	-1.425	1.89e-14
SLC23A2	ENSG00000089057.14	26.451	58.468	-1.115	4.02e-12
GRAMD1A	ENSG00000089351.14	23.300	53.710	-1.171	2.20e-21
HEPH	ENSG00000089472.16	4.450	16.910	-1.716	1.81e-13
LTBP4	ENSG00000090006.17	26.390	54.909	-1.029	9.18e-18
NDUFB2	ENSG00000090266.12	396.395	189.485	1.061	4.56e-14
ICAM1	ENSG00000090339.8	2.980	8.645	-1.277	1.01e-9
IRAK3	ENSG00000090376.8	0.370	2.910	-1.513	8.07e-47
LYZ	ENSG00000090382.6	4.130	10.605	-1.178	3.08e-4
THPO	ENSG00000090534.17	0.090	1.675	-1.295	7.55e-22
USP48	ENSG00000090686.15	14.220	45.386	-1.608	6.34e-36
KIF4A	ENSG00000090889.11	1.510	0.210	1.053	9.03e-23
TNRC6A	ENSG00000090905.17	11.100	28.874	-1.304	5.01e-29
PLEKHG2	ENSG00000090924.14	3.460	8.645	-1.113	9.61e-20
NAT14	ENSG00000090971.4	26.279	12.545	1.010	2.44e-10
PITPNM2	ENSG00000090975.12	5.950	14.885	-1.193	5.16e-34
NRCAM	ENSG00000091129.19	14.970	48.276	-1.626	7.98e-14
RAPGEF4	ENSG00000091428.17	4.780	57.061	-3.328	1.53e-46
PITPNM3	ENSG00000091622.15	0.610	2.520	-1.128	7.62e-14
ORC6	ENSG00000091651.8	5.590	1.300	1.519	4.99e-29
SEMA6A	ENSG00000092421.16	6.150	44.665	-2.675	2.21e-30
UNC13D	ENSG00000092929.11	1.590	7.050	-1.636	1.35e-27
FMO2	ENSG00000094963.13	0.190	8.370	-2.977	1.58e-54
HOOK2	ENSG00000095066.11	10.450	27.856	-1.333	6.28e-26
NANS	ENSG00000095380.10	67.700	20.695	1.663	1.73e-26
SEMA4G	ENSG00000095539.15	2.410	10.640	-1.771	6.89e-13
SORBS1	ENSG00000095637.20	0.910	5.805	-1.833	1.79e-41
PGC	ENSG00000096088.16	0.000	1.930	-1.551	6.37e-25
ITPR3	ENSG00000096433.10	4.390	9.820	-1.005	1.71e-10
ERMP1	ENSG00000099219.13	4.900	13.510	-1.298	9.31e-12
PRTFDC1	ENSG00000099256.18	5.170	16.205	-1.480	2.55e-20
PALMD	ENSG00000099260.10	19.430	48.092	-1.265	1.49e-14
H2AFY2	ENSG00000099284.13	9.180	1.385	2.094	1.17e-34
MZF1	ENSG00000099326.8	14.050	29.565	-1.022	1.96e-17
TECR	ENSG00000099797.11	343.031	159.918	1.096	1.73e-22
HCN2	ENSG00000099822.2	8.450	2.715	1.347	1.22e-12
IGF2-AS	ENSG00000099869.7	7.270	0.270	2.703	2.81e-32
ZDHHC8	ENSG00000099904.15	13.200	30.185	-1.135	1.53e-25
MMP11	ENSG00000099953.9	3.690	1.125	1.142	4.78e-15
